SMILES,pIC50,mol,num_atoms,logP,Molecular_Weight,Num_Bonds,TPSA,NumHDoner,NumHAcceptor
O=S(=O)(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccs1,4.26,<rdkit.Chem.rdchem.Mol object at 0x7f59df45bc30>,25,4.159100000000002,367.4550000000001,28,71.95,1,5
O=c1cc(-c2nc(-c3ccc(-c4cn(CCP(=O)(O)O)nn4)cc3)[nH]c2-c2ccc(F)cc2)cc[nH]1,4.34,<rdkit.Chem.rdchem.Mol object at 0x7f59a320c9e0>,36,3.6743000000000015,506.434,40,149.78,4,5
NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCCO,4.53,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cac0>,23,1.5361,317.38900000000007,25,101.37000000000002,3,4
NCCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,4.56,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cba0>,22,0.9509999999999998,301.394,24,98.96000000000001,3,4
CNC(=S)Nc1cccc(-c2cnc3ccccc3n2)c1,4.59,<rdkit.Chem.rdchem.Mol object at 0x7f59a320c7b0>,21,3.213000000000001,294.38300000000004,23,49.84,2,3
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)C1CC1,4.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ca50>,22,3.6453000000000015,289.3380000000001,25,54.88,1,3
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1ccco1,4.61,<rdkit.Chem.rdchem.Mol object at 0x7f59a320c740>,24,4.142100000000002,315.33200000000005,27,68.02000000000001,1,4
COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC,4.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cc10>,26,4.566400000000004,371.8240000000002,28,65.5,1,6
CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,4.68,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cc80>,33,3.323500000000002,461.48200000000014,38,90.44,0,7
COc1ccc2c(c1)C(=O)N(c1nc(C(=O)Nc3cnccc3N3CCNCC3)cs1)C2,4.68,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ccf0>,32,2.369,450.5240000000002,36,99.69,2,8
NCCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,4.69,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cd60>,22,2.151,294.358,24,86.93,2,3
CS(=O)(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,4.73,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cdd0>,21,2.6683000000000003,299.3550000000001,23,71.95,1,4
NCCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,4.73,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ce40>,23,1.5024999999999993,316.40500000000003,25,107.16,3,4
N#CCC(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,4.74,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ceb0>,22,3.1489800000000017,288.31,24,78.67,1,4
O=C(CN1CCN(c2ccccc2)CC1)Nc1cccc(-c2cnc3ccccc3n2)c1,4.75,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cf20>,32,4.057500000000003,423.52000000000015,36,61.36000000000001,1,5
NS(=O)(=O)OCCn1cnc2c(Nc3ccc(F)cc3)nc(NCc3ccc(C4CCCCC4)cc3)nc21,4.78,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cf90>,38,4.588900000000004,539.6370000000003,42,137.05,3,8
CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4cccc(F)c4)nc2-3)CC1,4.79,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d000>,26,4.122700000000002,373.86300000000017,29,56.84,2,4
COc1cccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c1,4.79,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d070>,27,3.992200000000002,385.8990000000002,30,66.07,2,5
O=C1NN(c2ccccc2)C(=O)C1=Cc1cc(Cl)ccc1OCc1ccccc1,4.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d0e0>,29,4.3804000000000025,404.8530000000001,32,58.64,1,3
COc1ccc(-c2nc3[nH]cc(Cl)c(NC4CCN(C)CC4)c-3n2)cc1,4.83,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d150>,26,3.744600000000003,371.8720000000002,29,66.07,2,5
C#Cc1ccc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)cc1,4.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d1c0>,27,4.219400000000002,355.372,30,61.54,2,2
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNC4)c-3n2)cc1,4.86,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d230>,25,3.259900000000001,357.84500000000014,28,74.86,3,5
NCCn1c(-c2ccncc2)nc2cc(C(N)=O)ccc21,4.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d2a0>,21,1.1558999999999993,281.319,23,99.82,2,4
COc1ccc(F)c(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c1,4.88,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d310>,27,3.789100000000002,389.86200000000025,30,74.86,3,5
NC(=O)c1cnc(NC2CCC(N)CC2)c2nc(-c3ccc(Cl)cc3)cn12,4.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d380>,27,2.830400000000001,384.87100000000004,30,111.33,3,5
CCCCN(C)c1ncc(NS(=O)(=O)c2ccccc2C)cc1C(=O)O,4.91,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d3f0>,26,3.125320000000001,377.4660000000001,27,99.60000000000001,2,5
CC(O)Cn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,4.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d460>,23,1.5345,317.38900000000007,25,101.37,3,4
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c(F)c1,4.93,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d4d0>,27,3.789100000000002,389.8620000000002,30,74.86,3,5
FC(F)(F)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,4.94,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d540>,22,4.436600000000002,308.3070000000002,25,46.5,1,2
O=C1NC(=O)C(c2ccccc2)=C1Nc1cccc(OCCNc2ccnc(F)c2)c1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d5b0>,31,3.191200000000001,418.42800000000017,34,92.35000000000001,3,6
O=C1Nc2ccc3c(oc4ccccc43)c2C1=NNc1ccncc1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d620>,25,3.7493000000000007,328.331,29,79.52,2,5
O=C1c2oc(-c3ccc(Cl)cc3)cc2Cc2cc(N3CCNCC3)ccc2N1Cc1ccccc1-c1cccnc1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d690>,41,6.822800000000006,561.0850000000003,47,61.61000000000001,1,5
COc1ccc(-c2nc3[nH]cc(C(N)=O)c(NCC4CCN(C)CC4)c-3n2)cc1,4.99,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d700>,29,2.4377000000000004,394.4790000000002,32,109.16,3,6
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CN(c3ccnc(F)c3)C2)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d770>,35,3.449200000000001,469.4760000000002,40,99.35,3,6
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1OC,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d7e0>,29,4.000800000000003,415.9250000000003,32,75.3,2,6
COc1ccc(-c2nc3[nH]cc(Cl)c(OCC4CCNCC4)c-3n2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d850>,26,3.616900000000002,372.85600000000017,29,72.06,2,5
C=Cc1nc(NC(=O)Nc2ccc(N3CCNCC3)cc2)nn1C(=C)c1ccc(S(C)(=O)=O)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d8c0>,35,2.8972000000000016,493.59300000000025,38,121.25,3,7
COc1ccccc1Nc1nc2c(-c3ccc(C(F)(F)F)cc3)cccn2n1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d930>,28,5.167300000000003,384.361,31,51.45,1,4
COc1ccccc1Nc1nc2c(-c3ccccc3)cccn2n1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d9a0>,24,4.148500000000003,316.36400000000003,27,51.45,1,4
CNC(=O)c1cccc(-c2cccn3nc(Nc4ccccc4OC)nc23)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320da10>,28,3.5081000000000016,373.4160000000001,31,80.55000000000001,2,5
CNC(=O)c1ccc(-c2cccn3nc(Nc4ccccc4OC)nc23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320da80>,28,3.5081000000000016,373.4160000000001,31,80.55000000000001,2,5
CS(=O)(=O)c1ccc(-c2ccc3nc(Nc4ccc(N5CCOCC5)cc4)nn3c2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320daf0>,32,3.3800000000000017,449.5360000000003,36,88.83,1,7
CS(=O)(=O)c1ccccc1Nc1nc2c(Nc3ccccc3S(C)(=O)=O)cccn2n1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320db60>,31,3.023500000000001,457.53700000000015,34,122.52999999999999,2,8
c1ccc(-c2cccc3nc(Nc4ccc(OCCN5CCCC5)cc4)nn23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dbd0>,30,4.614500000000003,399.49800000000016,34,54.69000000000001,1,5
CN1CCN(c2nc3c(NCc4cccc([N+](=O)[O-])c4)cccn3n2)CC1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dc40>,27,2.0013999999999994,367.4130000000001,30,91.83999999999999,1,7
